player_name,player_position,player_team_abbreviation,player_pts,player_trb,player_ast,player_stl,player_blk,player_fg_pct,player_threept_pct,player_ft_pct
ramonsessions,PG,CHA,6.2,1.5,2.6,0.5,0.1,0.38,0.33899999999999997,0.7709999999999999
jonathonsimmons,SG,SA,6.2,2.1,1.6,0.6,0.3,0.42,0.294,0.75
troywilliams,SF,HOU/MEM,6.2,2.3,0.8,0.9,0.3,0.43700000000000006,0.29,0.6559999999999999
lucmbahamoute,SF,LAC,6.1,2.1,0.5,1.0,0.4,0.505,0.391,0.6779999999999999
javalemcgee,C,GS,6.1,3.2,0.2,0.2,0.9,0.652,0.0,0.505
zazapachulia,C,GS,6.1,5.9,1.9,0.8,0.5,0.534,0.0,0.778
derrickwilliams,PF,CLE/MIA,6.1,2.6,0.6,0.3,0.1,0.44299999999999995,0.309,0.652
alexabrines,SG,OKC,6.0,1.3,0.6,0.5,0.1,0.39299999999999996,0.381,0.898
bismackbiyombo,C,ORL,6.0,7.0,0.9,0.3,1.1,0.528,,0.534
davidnwaba,SG,LAL,6.0,3.2,0.7,0.7,0.4,0.58,0.2,0.6409999999999999
lancethomas,PF,NY,6.0,3.1,0.8,0.5,0.1,0.39799999999999996,0.447,0.843
