,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
39,41,Paul Millsap,PF,ATL,18.1,7.7,3.7,1.3,0.9,0.442,0.311,0.768,14.1,1.1,3.5,5.1,10.6,0.486,0.481,4.5,5.9,1.6,6.1,2.3,2.7,69,34,1.23,3.35,4.58,11.51,12.6,100.22,40
40,42,Chris Paul,PG,LAC,18.1,5,9.2,2,0.1,0.476,0.411,0.892,12.9,2,5,4.1,7.9,0.518,0.555,3.8,4.3,0.7,4.3,2.4,2.4,61,31.5,5.16,2.76,7.92,13.48,18.2,98.19,43
41,43,Kristaps Porzingis,PF,NY,18.1,7.2,1.5,0.7,2,0.45,0.357,0.786,14.9,1.7,4.8,5,10.2,0.493,0.507,3,3.8,1.7,5.5,1.8,3.7,66,32.8,-0.31,1.9,1.59,6.54,10.6,99.15,26
42,44,Derrick Rose,PG,NY,18,3.8,4.4,0.7,0.3,0.471,0.217,0.874,15.3,0.2,0.9,7,14.3,0.487,0.477,3.5,4,1,2.8,2.3,1.3,64,32.5,0.11,-2.36,-2.25,1.17,11.2,99.19,26
43,45,Dennis Schroder,PG,ATL,17.9,3.1,6.3,0.9,0.2,0.451,0.34,0.855,15.4,1.3,3.7,5.7,11.6,0.487,0.493,2.8,3.2,0.5,2.6,3.3,1.9,79,31.5,0.31,-2.76,-2.45,1.07,11.7,100.32,42
44,46,Lou Williams,SG,HOU/LAL,17.5,2.5,3,1,0.2,0.429,0.365,0.88,12.3,2,5.5,3.3,6.8,0.48,0.511,5,5.6,0.3,2.2,2,1.1,81,24.6,3.65,-1.68,1.97,6.73,13.3,103.22,34
45,47,LaMarcus Aldridge,PF,SA,17.3,7.3,1.9,0.6,1.2,0.477,0.411,0.812,14.6,0.3,0.8,6.6,13.8,0.48,0.488,3.1,3.8,2.4,4.9,1.4,2.2,72,32.4,-0.09,1.05,0.96,5.79,12.2,94.47,52
46,48,Evan Fournier,SG,ORL,17.2,3.1,3,1,0.1,0.439,0.356,0.805,13.7,1.9,5.3,4.1,8.4,0.491,0.508,3.3,4.1,0.6,2.4,2.1,2.6,68,32.9,0.07,-1.17,-1.1,2.89,8.5,99.6,23
47,49,Hassan Whiteside,C,MIA,17,14.1,0.7,0.7,2.1,0.557,,0.628,12.6,0,0,7,12.6,0.557,0.557,2.9,4.6,3.8,10.3,2,2.9,77,32.6,-0.69,2.72,2.03,8.15,16.3,97.11,39
48,50,George Hill,PG,UTAH,16.9,3.4,4.2,1,0.2,0.477,0.403,0.801,12.4,1.9,4.8,4,7.6,0.523,0.554,3.2,4,0.5,2.9,1.7,2.3,49,31.5,2.64,1.11,3.75,6.28,12.8,92.9,33
49,51,Nikola Jokic,C,DEN,16.7,9.8,4.9,0.8,0.8,0.578,0.324,0.825,11.7,0.6,1.9,6.2,9.8,0.628,0.605,2.6,3.1,2.9,6.9,2.3,2.9,73,27.9,4.44,2.29,6.73,13.18,16.7,100.76,37
50,52,Avery Bradley,SG,BOS,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,14.1,2,5,4.6,9.1,0.504,0.533,1.2,1.7,1.2,4.9,1.6,2.6,55,33.4,-0.44,-1.72,-2.16,1.13,9.9,99.23,34
51,53,Eric Gordon,SG,HOU,16.2,2.7,2.5,0.6,0.5,0.406,0.372,0.84,13.5,3.3,8.8,2.2,4.7,0.468,0.527,2,2.3,0.4,2.3,1.6,2,75,31,1.51,-0.48,1.03,6.36,8.2,103.07,50
52,54,Tobias Harris,PF,DET,16.1,5.1,1.7,0.7,0.5,0.481,0.347,0.841,13,1.3,3.8,4.9,9.1,0.537,0.532,2.3,2.8,0.8,4.3,1.2,1.6,82,31.3,1.19,-0.25,0.94,6.55,11.3,97.41,37
53,55,Victor Oladipo,SG,OKC,15.9,4.3,2.6,1.2,0.3,0.442,0.361,0.753,13.9,1.9,5.3,4.3,8.7,0.491,0.51,1.7,2.3,0.6,3.8,1.8,2.3,67,33.2,0.1,1.56,1.66,6.88,9.5,101.1,39
54,56,Dion Waiters,SG,MIA,15.8,3.3,4.3,0.9,0.4,0.424,0.395,0.646,14.4,1.8,4.7,4.3,9.7,0.438,0.488,1.8,2.8,0.4,2.9,2.2,2.1,46,30.1,0.12,-0.07,0.05,2.8,10,98.03,27
55,57,Wilson Chandler,SF,DEN,15.7,6.5,2,0.7,0.4,0.461,0.337,0.727,13.2,1.5,4.6,4.5,8.6,0.527,0.52,2,2.7,1.5,5,1.6,2.4,71,30.9,0.3,-1.54,-1.24,2.69,9.8,100.43,35
56,58,DAngelo Russell,PG,LAL,15.6,3.5,4.8,1.4,0.3,0.405,0.352,0.782,13.8,2.1,6.1,3.4,7.7,0.447,0.483,2.3,3,0.5,3,2.8,2.1,63,28.7,0.75,-2.45,-1.7,1.69,9.9,100.87,21
57,59,Jrue Holiday,PG,NO,15.4,3.9,7.3,1.5,0.7,0.454,0.356,0.708,13.3,1.5,4.2,4.6,9.1,0.498,0.51,1.8,2.5,0.7,3.3,2.9,2,67,32.7,0.64,1.18,1.82,6.89,12.1,100.12,32
58,60,Jeff Teague,PG,IND,15.3,4,7.8,1.2,0.4,0.442,0.357,0.867,11.1,1.1,3.1,3.8,8,0.475,0.492,4.4,5.1,0.4,3.6,2.6,2,82,32.4,1.86,-0.22,1.64,8.08,13.1,98.98,42
59,61,Nicolas Batum,SG,CHA,15.1,6.2,5.9,1.1,0.4,0.403,0.333,0.856,12.7,1.8,5.3,3.4,7.4,0.453,0.472,3.2,3.7,0.6,5.6,2.5,1.4,77,34,1.3,-0.35,0.95,6.73,11.8,98.76,35
60,63,Gary Harris,SG,DEN,14.9,3.1,2.9,1.2,0.1,0.502,0.42,0.776,11.2,1.9,4.5,3.7,6.7,0.558,0.586,1.8,2.4,0.8,2.3,1.3,1.6,57,31.3,2.88,-2.37,0.51,4.29,9.1,100.41,29
