,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
204,213,Matthew Dellavedova,PG,MIL,7.6,1.9,4.7,0.7,0,0.39,0.367,0.854,7,1,2.8,1.7,4.2,0.404,0.463,1.1,1.3,0.3,1.6,1.8,2,76,26.1,-0.88,-1.01,-1.89,1.54,6.6,97.5,39
205,214,Luol Deng,SF,LAL,7.6,5.3,1.3,0.9,0.4,0.387,0.309,0.73,7.6,0.9,2.9,2,4.6,0.436,0.447,0.8,1.1,1.1,4.1,0.8,1.1,56,26.5,-1.87,1.54,-0.33,2.69,7.7,100.3,18
206,215,Andre Iguodala,SF,GS,7.6,4,3.4,1,0.5,0.528,0.362,0.706,5.5,0.8,2.3,2,3.1,0.651,0.605,0.9,1.3,0.7,3.3,0.8,1.3,76,26.3,2.01,1.52,3.53,8.72,10.2,101.92,64
207,216,Manu Ginobili,SG,SA,7.5,2.3,2.7,1.2,0.2,0.39,0.392,0.804,6.4,1.3,3.3,1.2,3.1,0.387,0.491,1.2,1.6,0.4,1.9,1.4,1.7,69,18.7,1.43,1,2.43,4.64,8.7,100.94,51
208,217,Iman Shumpert,SG,CLE,7.5,2.9,1.4,0.8,0.4,0.411,0.36,0.789,6.4,1.2,3.4,1.4,3,0.469,0.507,0.9,1.2,0.5,2.4,1,2,76,25.5,-0.98,-0.16,-1.14,2.43,5.5,97.99,48
209,218,Ivica Zubac,C,LAL,7.5,4.2,0.8,0.4,0.9,0.529,0,0.653,6.3,0,0.1,3.3,6.2,0.536,0.529,0.8,1.3,1.1,3.1,0.8,1.7,38,16,-3.04,-0.26,-3.3,-0.07,10,102.85,8
210,219,Timofey Mozgov,C,LAL,7.4,4.9,0.8,0.3,0.6,0.515,0,0.808,6.1,0,0,3.1,6.1,0.517,0.515,1.2,1.4,1.9,3,1.3,2.5,54,20.4,-4.02,0.93,-3.09,0.03,7.2,99.38,16
211,220,Isaiah Whitehead,PG,BKN,7.4,2.5,2.6,0.6,0.5,0.402,0.295,0.805,7,0.6,2,2.2,4.9,0.446,0.445,1.2,1.5,0.4,2.1,1.9,2.4,73,22.5,-1.95,-1.16,-3.11,0.02,5.2,102.31,17
212,221,Alan Williams,C,PHX,7.4,6.2,0.5,0.6,0.7,0.517,0,0.625,5.7,0,0,2.9,5.7,0.519,0.517,1.5,2.4,2,4.2,0.8,2.7,47,15.1,-0.94,1.49,0.55,1.75,12.7,102.8,11
213,222,Spencer Dinwiddie,PG,BKN,7.3,2.8,3.1,0.7,0.4,0.444,0.376,0.792,5.1,0.6,1.7,1.6,3.4,0.478,0.507,2.1,2.7,0.5,2.3,1.1,2,59,22.6,-0.8,0.31,-0.49,2.29,8.7,101.2,13
214,224,Danny Green,SG,SA,7.3,3.3,1.8,1,0.8,0.392,0.379,0.844,6.6,1.7,4.6,0.9,2,0.42,0.523,0.4,0.5,0.5,2.8,1.1,1.8,68,26.6,-0.45,1.71,1.26,4.83,6.9,94.47,51
215,225,David Lee,PF,SA,7.3,5.6,1.6,0.4,0.5,0.59,,0.708,5.3,0,0,3.1,5.3,0.59,0.59,1,1.4,1.9,3.7,1,1.6,79,18.7,-0.38,1.5,1.12,3.98,12.6,98.36,58
216,226,Tyler Ulis,PG,PHX,7.3,1.6,3.7,0.8,0.1,0.421,0.266,0.775,7.2,0.3,1.3,2.7,5.9,0.455,0.445,0.9,1.2,0.3,1.2,1.3,1.2,61,18.4,-2.03,-2.23,-4.26,-0.86,9.5,103.45,15
217,227,Thabo Sefolosha,SF,ATL,7.2,4.4,1.7,1.5,0.5,0.441,0.342,0.733,6.4,0.7,1.9,2.1,4.4,0.484,0.492,0.9,1.2,0.9,3.5,0.9,1.6,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32
218,228,Rodney Stuckey,PG,IND,7.2,2.2,2.2,0.4,0,0.373,0.317,0.748,6.3,0.5,1.5,1.8,4.7,0.391,0.412,2.1,2.7,0.2,2,1.4,1.1,39,17.8,-1.66,-0.91,-2.57,0.23,7.5,96.83,17
219,229,Justin Anderson,SF,DAL/PHI,7.1,3.3,0.9,0.5,0.3,0.424,0.299,0.791,5.9,0.8,2.6,1.7,3.3,0.522,0.49,1.4,1.7,0.9,2.3,0.9,1.5,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24
220,230,Matt Barnes,SF,GS/SAC,7.1,5.2,2.6,0.6,0.4,0.391,0.331,0.787,6.4,1.2,3.6,1.3,2.8,0.467,0.483,0.9,1.2,0.9,4.2,1.4,2.5,74,24,-1.18,-0.09,-1.27,2.07,8.1,97.99,38
221,231,Tim Frazier,PG,NO,7.1,2.7,5.2,0.9,0.1,0.403,0.313,0.76,6.2,0.6,2,1.9,4.2,0.446,0.453,1.5,2,0.5,2.1,1.6,2,65,23.5,-0.73,-1.67,-2.4,0.7,8.4,99.84,26
222,232,Joe Ingles,SF,UTAH,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735,5.5,1.5,3.4,1,2.1,0.471,0.589,0.6,0.8,0.3,2.9,1.3,2,82,24,2.29,0.26,2.55,6.68,8.9,94.04,51
223,233,Brandon Jennings,PG,NY/WSH,7.1,2.4,4.9,0.9,0,0.359,0.313,0.75,6.6,1,3.1,1.4,3.5,0.399,0.433,1.4,1.9,0.4,2.1,1.6,1.4,81,22.2,0.25,-1.5,-1.25,2.15,8.9,99.85,37
224,234,Larry Nance Jr,PF,LAL,7.1,5.9,1.5,1.3,0.6,0.526,0.278,0.738,5.7,0.2,0.6,2.9,5.2,0.554,0.54,0.9,1.3,1.9,4,0.9,2.4,63,22.9,-1.26,2.16,0.9,3.79,10.1,101,21
225,235,Anthony Tolliver,PF,SAC,7.1,3.6,1.2,0.5,0.3,0.442,0.391,0.744,5.4,1.4,3.5,1,1.9,0.537,0.57,0.9,1.3,0.8,2.9,0.9,1.7,65,22.7,-0.07,-0.97,-1.04,1.93,7.3,97.77,26
226,236,Solomon Hill,SF,NO,7,3.8,1.8,0.9,0.4,0.383,0.348,0.805,6,1.2,3.4,1.1,2.6,0.428,0.481,1.3,1.6,0.6,3.2,1,2.3,80,29.7,-1.06,1.49,0.43,5.4,5.3,100.61,34
227,237,Josh Huestis,PF,OKC,7,4.5,1.5,0,1.5,0.545,0.5,0,5.5,1,2,2,3.5,0.571,0.636,0,0.5,2,2.5,0,0,2,15.5,-1.97,0.83,-1.14,0.04,13.7,108.61,0
228,238,Justin Hamilton,C,BKN,6.9,4.1,0.9,0.5,0.7,0.459,0.306,0.75,5.9,0.9,2.8,1.9,3.1,0.598,0.532,0.6,0.8,1.1,3,0.7,1.4,64,18.4,-1.64,-0.42,-2.06,0.84,9.2,103.44,14
229,239,TJ McConnell,PG,PHI,6.9,3.1,6.6,1.7,0.1,0.461,0.2,0.811,6.3,0.1,0.7,2.8,5.6,0.492,0.472,0.9,1.1,0.5,2.6,2,1.7,81,26.3,-1.32,0.23,-1.09,2.86,10.7,102.22,27
230,240,Ian Clark,SG,GS,6.8,1.6,1.2,0.5,0.1,0.487,0.374,0.759,5.6,0.8,2.1,1.9,3.5,0.556,0.558,0.6,0.8,0.3,1.3,0.7,1,77,14.8,-1.08,-1.82,-2.9,0.17,9.2,100.62,63
231,241,Jared Dudley,PF,PHX,6.8,3.5,1.9,0.7,0.3,0.454,0.379,0.662,5.4,1.2,3.2,1.3,2.2,0.559,0.565,0.7,1,0.5,3,1.1,2.4,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17
232,242,John Henson,C,MIL,6.8,5.1,1,0.5,1.3,0.515,0,0.692,5.3,0,0,2.7,5.3,0.516,0.515,1.3,1.8,1.6,3.5,0.9,2.6,58,19.4,-3.42,1.79,-1.63,1.05,9.2,96.69,26
233,243,Patrick Patterson,PF,TOR,6.8,4.5,1.2,0.6,0.4,0.401,0.372,0.717,5.9,1.4,3.9,0.9,2,0.458,0.523,0.7,0.9,1,3.6,0.6,1.8,65,24.6,1.05,1.26,2.31,5.4,7.5,97.3,42
234,244,Bobby Portis,PF,CHI,6.8,4.6,0.5,0.3,0.2,0.488,0.333,0.661,5.9,0.5,1.5,2.4,4.4,0.541,0.531,0.6,0.9,1.2,3.5,0.6,1.5,64,15.6,-1.94,-0.5,-2.44,0.43,11,97.38,30
235,246,Brandan Wright,PF,MEM,6.8,2.8,0.5,0.4,0.7,0.615,0,0.657,4.8,0,0,3,4.8,0.619,0.615,0.8,1.3,1.1,1.7,0.4,1.5,28,16,-0.86,0.4,-0.46,0.71,11.6,93.54,14
236,247,Alec Burks,SG,UTAH,6.7,2.9,0.7,0.4,0.1,0.399,0.329,0.769,5.9,0.6,1.8,1.8,4.1,0.43,0.45,1.4,1.9,0.4,2.5,0.8,1.2,42,15.5,-2.47,-0.94,-3.41,-0.12,8.7,95.94,26
237,249,Raymond Felton,PG,LAC,6.7,2.7,2.4,0.8,0.3,0.43,0.319,0.781,6.4,0.6,1.8,2.2,4.6,0.473,0.475,0.6,0.8,0.4,2.3,1,1.6,80,21.3,-1.4,-0.88,-2.28,0.92,7.8,97.95,50
238,250,Devin Harris,PG,DAL,6.7,2,2.1,0.7,0.1,0.399,0.328,0.829,5.2,0.9,2.7,1.2,2.5,0.476,0.484,1.6,2,0.2,1.8,0.9,1.6,65,16.7,0.38,0.32,0.7,2.58,9.5,95.46,29
239,251,Dwight Powell,C,DAL,6.7,4,0.6,0.8,0.5,0.515,0.284,0.759,4.9,0.3,1,2.2,3.9,0.571,0.542,1.4,1.8,1.2,2.8,0.4,1.8,77,17.3,-0.66,-0.51,-1.17,1.58,10.7,93.78,30
240,253,Jaylen Brown,SF,BOS,6.6,2.8,0.8,0.4,0.2,0.454,0.341,0.685,5.4,0.6,1.7,1.9,3.7,0.507,0.508,1.1,1.6,0.6,2.2,0.9,1.8,78,17.2,-2.95,-0.42,-3.37,-0.21,7.1,99.02,50
241,254,Michael Carter Williams,PG,CHI,6.6,3.4,2.5,0.8,0.5,0.366,0.234,0.753,6.8,0.3,1.4,2.2,5.4,0.401,0.391,1.3,1.7,0.5,2.9,1.5,2.3,45,18.8,-2.82,1.12,-1.7,0.77,7,98.47,25
242,255,Dante Cunningham,SF,NO,6.6,4.2,0.6,0.6,0.4,0.485,0.392,0.593,5.4,1.1,2.7,1.6,2.7,0.579,0.584,0.2,0.4,0.8,3.3,0.4,1.5,66,25,-0.37,-0.56,-0.93,2.29,6.8,99.77,28
243,256,Kosta Koufos,C,SAC,6.6,5.7,0.7,0.5,0.7,0.551,0,0.613,5.5,0,0,3,5.5,0.552,0.551,0.5,0.9,1.7,4,0.9,2.4,71,20,-2.78,2.83,0.05,2.79,9.3,96.17,27
244,257,Andre Roberson,SF,OKC,6.6,5.1,1,1.2,1,0.464,0.245,0.423,5.9,0.6,2.3,2.2,3.5,0.609,0.513,0.6,1.4,1.2,3.9,0.6,2.6,79,30.1,-1.4,2.64,1.24,6.73,5.9,101.08,46
245,258,Marcus Thornton,SG,WSH,6.6,2.3,1.2,0.6,0.1,0.4,0.35,0.852,6.4,0.8,2.4,1.7,3.9,0.431,0.467,0.7,0.8,0.7,1.6,0.8,1.5,33,17.4,-1.64,-3.31,-4.95,-0.66,6.9,98.29,15
246,259,Sam Dekker,SF,HOU,6.5,3.7,1,0.5,0.3,0.473,0.321,0.559,5.6,0.8,2.4,1.9,3.1,0.591,0.543,0.5,0.9,1.2,2.5,0.5,1.1,77,18.4,0.05,-1.42,-1.37,1.64,8.7,102.25,52
247,260,Amir Johnson,PF,BOS,6.5,4.6,1.8,0.6,0.8,0.576,0.409,0.67,4.6,0.3,0.8,2.3,3.8,0.612,0.612,0.8,1.3,1.5,3.1,1,2.6,80,20.1,0.22,3.58,3.8,7.02,9.1,97.94,51
248,261,Darrell Arthur,PF,DEN,6.4,2.7,1,0.5,0.5,0.442,0.453,0.864,5.2,1.3,2.9,1,2.4,0.429,0.565,0.5,0.5,0.6,2.1,0.9,1.9,41,15.6,-0.91,0.2,-0.71,0.99,7.7,99.85,20
249,262,Timothe Luwawu Cabarrot,SF,PHI,6.4,2.2,1.1,0.5,0.1,0.402,0.311,0.854,5.2,0.7,2.3,1.4,2.9,0.475,0.471,1.5,1.8,0.4,1.8,1.1,2.2,69,17.2,-2.27,0.57,-1.7,1.11,5.3,101.64,23
250,263,Rodney McGruder,SG,MIA,6.4,3.3,1.6,0.6,0.2,0.413,0.332,0.62,5.9,0.9,2.8,1.5,3.1,0.488,0.492,0.6,0.9,1.2,2.1,0.7,1.8,78,25.2,-0.58,-0.9,-1.48,2.04,5.6,96.98,40
251,264,Mirza Teletovic,PF,MIL,6.4,2.3,0.7,0.2,0.2,0.373,0.341,0.778,6,1.5,4.4,0.7,1.6,0.46,0.498,0.5,0.6,0.2,2.2,0.5,1.6,70,16.2,-1.05,-0.44,-1.49,1.16,6.1,96.72,36
252,265,Leandro Barbosa,SG,PHX,6.3,1.6,1.2,0.5,0.1,0.439,0.357,0.889,5.9,0.5,1.5,2,4.4,0.466,0.483,0.6,0.7,0.2,1.3,0.7,1.2,67,14.4,-1.5,-1.5,-3,0.08,8.3,101.15,20
253,266,Mindaugas Kuzminskas,SF,NY,6.3,1.9,1,0.4,0.2,0.428,0.321,0.809,5.4,0.8,2.5,1.5,3,0.517,0.501,0.8,1,0.7,1.2,0.8,1.2,68,14.9,-0.8,-1.2,-2,0.72,7.5,99.41,24
254,267,Kyle OQuinn,C,NY,6.3,5.6,1.5,0.5,1.3,0.521,0.118,0.771,5.2,0,0.2,2.7,5,0.538,0.523,0.8,1.1,2,3.6,1,2.2,79,15.6,-1.28,1.16,-0.12,2.31,13.2,97.82,29
255,269,Nemanja Bjelica,PF,MIN,6.2,3.8,1.2,0.6,0.3,0.424,0.316,0.738,5.5,0.9,2.7,1.5,2.8,0.531,0.503,0.7,0.9,0.9,2.9,0.9,2.4,65,18.3,-0.71,1.94,1.23,3.24,7.8,97.32,28
256,270,Dante Exum,PG,UTAH,6.2,2,1.7,0.3,0.2,0.427,0.295,0.795,5.5,0.7,2.3,1.7,3.2,0.519,0.488,0.9,1.1,0.5,1.5,1.2,2.2,66,18.6,-2.14,-0.65,-2.79,0.25,5.4,94.42,40
257,271,Jonathan Gibson,PG,DAL,6.2,1.3,1.5,0.5,0,0.368,0.333,0.724,5.6,0.9,2.6,1.2,2.9,0.4,0.447,1.2,1.7,0.1,1.2,1.2,1.2,17,13.6,-1.95,-2.16,-4.11,-0.15,6.2,96.88,4
258,272,Spencer Hawes,PF,MIL/CHA,6.2,3.5,1.5,0.3,0.6,0.484,0.309,0.846,5.1,0.5,1.5,2,3.6,0.556,0.529,0.8,1,0.7,2.8,0.9,1.4,54,14.8,-2.13,-0.87,-3,0.06,10.9,100.06,27
259,273,Trey Lyles,PF,UTAH,6.2,3.3,1,0.4,0.3,0.362,0.319,0.722,6.2,0.9,2.9,1.3,3.3,0.4,0.436,0.8,1.1,0.7,2.6,0.9,1.4,71,16.3,-2.48,-0.23,-2.71,0.29,7.6,94.43,43
260,274,Mike Muscala,C,ATL,6.2,3.4,1.4,0.4,0.6,0.504,0.418,0.766,4.8,0.7,1.6,1.8,3.2,0.546,0.573,0.7,0.9,1.1,2.3,0.8,1.4,70,17.7,-0.02,-0.36,-0.38,2.11,9.7,99.78,36
261,275,Chandler Parsons,SF,MEM,6.2,2.5,1.6,0.6,0.1,0.338,0.269,0.814,6.5,0.7,2.7,1.5,3.8,0.388,0.394,1,1.3,0.2,2.3,0.7,1.5,34,19.9,-3.51,-0.33,-3.84,-0.29,5.6,94.04,18
262,276,Ramon Sessions,PG,CHA,6.2,1.5,2.6,0.5,0.1,0.38,0.339,0.771,5.3,0.4,1.2,1.6,4,0.393,0.42,1.8,2.4,0.2,1.2,0.9,0.9,50,16.2,-1.65,-1.4,-3.05,0.04,7.9,99.63,23
263,277,Jonathon Simmons,SG,SA,6.2,2.1,1.6,0.6,0.3,0.42,0.294,0.75,5.4,0.4,1.3,1.9,4.1,0.461,0.456,1.3,1.7,0.3,1.8,1,1.9,78,17.8,-2.03,1.12,-0.91,1.94,6.7,97.59,60
264,278,Troy Williams,SF,HOU/MEM,6.2,2.3,0.8,0.9,0.3,0.437,0.29,0.656,5.6,0.6,2.1,1.8,3.5,0.524,0.491,0.7,1.1,0.5,1.8,1.1,2,30,18.6,-3.06,-0.45,-3.51,-0.14,5.5,98.77,19
265,279,Luc Mbah a Moute,SF,LAC,6.1,2.1,0.5,1,0.4,0.505,0.391,0.678,4.7,0.5,1.4,1.9,3.4,0.552,0.562,0.7,1.1,0.6,1.6,0.6,1.5,80,22.3,-1.56,2.32,0.76,4.43,5.6,98.35,49
266,280,JaVale McGee,C,GS,6.1,3.2,0.2,0.2,0.9,0.652,0,0.505,4.1,0,0,2.7,4.1,0.658,0.652,0.7,1.4,1.3,1.9,0.5,1.4,77,9.6,0.83,0.11,0.94,2.04,12.5,105.1,62
267,281,Zaza Pachulia,C,GS,6.1,5.9,1.9,0.8,0.5,0.534,0,0.778,4.4,0,0,2.3,4.4,0.538,0.534,1.4,1.8,2,3.9,1.2,2.4,70,18.1,-0.31,3.23,2.92,5.12,10,102.91,58
268,283,Derrick Williams,PF,CLE/MIA,6.1,2.6,0.6,0.3,0.1,0.443,0.309,0.652,4.9,0.6,1.9,1.6,2.9,0.531,0.504,1.2,1.8,0.4,2.2,0.6,1.2,50,16.1,-2.66,-1.25,-3.91,-0.4,7.4,96.49,16
269,284,Alex Abrines,SG,OKC,6,1.3,0.6,0.5,0.1,0.393,0.381,0.898,5,1.4,3.6,0.6,1.4,0.426,0.531,0.6,0.7,0.3,1,0.5,1.7,68,15.5,0.13,-2.25,-2.12,0.69,5.2,101.04,37
270,285,Bismack Biyombo,C,ORL,6,7,0.9,0.3,1.1,0.528,,0.534,4.2,0,0,2.2,4.2,0.528,0.528,1.5,2.9,1.9,5.1,1.2,2.5,81,22.1,-3.33,0.77,-2.56,0.63,8.7,96.83,29
271,287,David Nwaba,SG,LAL,6,3.2,0.7,0.7,0.4,0.58,0.2,0.641,4.1,0.1,0.3,2.3,3.8,0.605,0.586,1.3,2,0.9,2.3,0.6,1.8,20,19.9,-1.89,0.59,-1.3,0.47,7.6,100.9,5
272,288,Lance Thomas,PF,NY,6,3.1,0.8,0.5,0.1,0.398,0.447,0.843,5.3,0.8,1.8,1.3,3.5,0.371,0.475,0.9,1.1,0.7,2.4,0.5,1.8,46,21,-2.87,-1.73,-4.6,-0.91,5.5,98.29,15
273,289,Jerian Grant,PG,CHI,5.9,1.8,1.9,0.7,0.1,0.425,0.366,0.89,4.8,0.8,2.1,1.3,2.7,0.473,0.507,1,1.2,0.3,1.5,0.7,1.5,63,16.3,0.5,1.07,1.57,3.03,8.4,97,29
274,290,Andrew Harrison,PG,MEM,5.9,1.9,2.8,0.7,0.3,0.325,0.276,0.763,5,0.6,2.2,1,2.8,0.363,0.385,2.1,2.7,0.3,1.6,1.2,2.7,72,20.5,-1.2,-0.38,-1.58,1.38,5.3,94.76,38
275,291,Domantas Sabonis,PF,OKC,5.9,3.6,1,0.5,0.4,0.399,0.321,0.657,5.9,0.6,2,1.7,4,0.438,0.452,0.5,0.8,0.6,3,1,2.5,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46
276,292,Quincy Acy,PF,DAL/BKN,5.8,3,0.5,0.4,0.4,0.412,0.411,0.75,4.5,1,2.4,0.9,2.1,0.413,0.521,1.2,1.6,0.5,2.5,0.6,1.8,38,14.7,-2.38,-0.21,-2.59,0.01,8.3,101.09,11
277,293,Beno Udrih,PG,DET,5.8,1.5,3.4,0.3,0,0.467,0.344,0.941,5.1,0.3,0.8,2.1,4.2,0.491,0.495,0.8,0.9,0.2,1.3,0.9,0.7,39,14.4,-0.39,0.13,-0.26,0.98,13,95.46,18
278,294,Tarik Black,C,LAL,5.7,5.1,0.6,0.4,0.7,0.51,0.5,0.752,4.4,0,0,2.2,4.4,0.51,0.512,1.2,1.6,2.1,3,0.9,2.6,67,16.3,-2.5,1.96,-0.54,1.81,8.5,100.72,24
279,295,Richard Jefferson,SF,CLE,5.7,2.6,1,0.3,0.1,0.446,0.333,0.741,4.3,0.8,2.4,1.2,2,0.58,0.536,1,1.4,0.4,2.2,0.7,1.9,79,20.4,-1.16,-0.48,-1.64,1.51,5.3,98.11,50
280,296,Jason Smith,C,WSH,5.7,3.5,0.5,0.3,0.7,0.529,0.474,0.686,4.4,0.5,1.1,1.9,3.4,0.546,0.585,0.5,0.7,0.9,2.6,0.8,2.3,74,14.4,-1.08,0.54,-0.54,1.75,8.7,98.72,45
281,298,Brandon Bass,PF,LAC,5.6,2.5,0.4,0.3,0.2,0.575,0.333,0.875,3.6,0,0.1,2,3.5,0.579,0.578,1.5,1.7,0.8,1.7,0.6,0.9,52,11.1,-1.06,-1.59,-2.65,0.17,12.2,96.53,29
282,299,Quinn Cook,PG,NO/DAL,5.6,0.5,1.9,0.3,0,0.5,0.423,0.4,4.7,0.8,1.9,1.6,2.9,0.55,0.583,0.1,0.4,0.1,0.4,0.9,0.9,14,13.4,-1.44,-1.38,-2.82,0.01,6.8,96.78,9
283,300,Gerald Green,SF,BOS,5.6,1.8,0.7,0.2,0.1,0.409,0.351,0.805,4.9,0.8,2.4,1.2,2.6,0.463,0.494,0.7,0.9,0.3,1.4,0.5,1,47,11.4,-1.27,-1.47,-2.74,0.13,8.1,98.76,32
284,301,Ian Mahinmi,C,WSH,5.6,4.8,0.6,1.1,0.8,0.586,,0.573,3.6,0,0,2.1,3.6,0.586,0.586,1.4,2.4,1.5,3.3,1.1,2.9,31,17.9,-2.22,3.11,0.89,1.44,8.2,98.9,19
285,302,Georgios Papagiannis,C,SAC,5.6,3.9,0.9,0.1,0.8,0.549,0,0.857,4.6,0,0.1,2.5,4.5,0.56,0.549,0.5,0.6,1.1,2.8,1.1,2,22,16.1,-2.47,-0.3,-2.77,0.08,8.2,96.93,7
286,303,Delon Wright,PG,TOR,5.6,1.8,2.1,1,0.4,0.422,0.333,0.764,4.3,0.4,1.1,1.4,3.2,0.453,0.466,1.6,2,0.6,1.2,0.9,1.1,27,16.5,-1.28,0.98,-0.3,0.77,10.5,94.48,19
287,304,Jerami Grant,SF,PHI/OKC,5.5,2.6,0.6,0.4,1,0.463,0.371,0.612,4.1,0.5,1.5,1.4,2.7,0.514,0.529,1.1,1.8,0.5,2.1,0.6,1.9,80,19.1,-2.42,-2.29,-4.71,-1.56,5.8,100.42,43
288,305,Boban Marjanovic,C,DET,5.5,3.7,0.3,0.2,0.3,0.545,,0.81,3.8,0,0,2.1,3.8,0.545,0.545,1.3,1.7,1.3,2.4,0.3,0.7,35,8.4,-0.24,1.66,1.42,0.82,19.6,97.2,16
289,306,Anthony Morrow,SG,CHI/OKC,5.5,0.6,0.5,0.5,0,0.389,0.308,0.919,5.1,0.8,2.7,1.2,2.4,0.479,0.47,0.7,0.8,0.2,0.4,0.1,0.9,49,14.6,-0.66,-1.46,-2.12,0.46,5.5,99.75,25
290,307,Terry Rozier,PG,BOS,5.5,3.1,1.8,0.6,0.1,0.367,0.318,0.773,5.6,0.8,2.4,1.3,3.1,0.405,0.437,0.7,0.9,0.5,2.5,0.6,0.9,74,17.1,-1.05,-0.01,-1.06,1.65,9.1,98.27,47
291,308,Paul Zipser,SF,CHI,5.5,2.8,0.8,0.3,0.4,0.398,0.333,0.775,5,0.8,2.3,1.3,2.8,0.451,0.473,0.7,0.9,0.3,2.5,0.9,1.8,44,19.2,-3.37,-0.19,-3.56,-0.23,5,97.93,21
292,309,Malcolm Delaney,PG,ATL,5.4,1.7,2.6,0.5,0,0.374,0.236,0.806,5.3,0.4,1.5,1.6,3.8,0.428,0.407,1,1.3,0.1,1.5,1.3,1.5,73,17.1,-2.64,-0.25,-2.89,0.18,6.4,98.7,37
293,310,Joffrey Lauvergne,PF-C,CHI/OKC,5.4,3.6,1,0.4,0.1,0.44,0.337,0.63,4.8,0.5,1.4,1.6,3.4,0.483,0.49,0.7,1,1,2.6,0.8,1.2,70,14,-1.22,-1.27,-2.49,0.39,9.4,98.86,41
294,311,Meyers Leonard,PF,POR,5.4,3.2,1,0.2,0.4,0.386,0.347,0.875,5.1,1,2.9,1,2.2,0.436,0.484,0.5,0.5,0.4,2.8,0.5,2.3,74,16.5,-1.5,0.26,-1.24,1.48,6.1,99.44,37
295,312,Alexis Ajinca,C,NO,5.3,4.5,0.3,0.5,0.6,0.5,0,0.725,4.6,0,0.1,2.3,4.5,0.511,0.5,0.7,1,1.2,3.4,0.8,2,39,15,-3.17,1.64,-1.53,0.6,8.8,100.43,15
296,314,Chasson Randle,PG,NY/PHI,5.3,1.2,1.3,0.3,0.1,0.408,0.34,0.953,3.8,0.6,1.8,0.9,2,0.471,0.49,1.6,1.7,0.2,1,0.7,1.5,26,11.5,-0.74,-1.36,-2.1,0.2,8.4,98.49,8
297,315,Willie Reed,C,MIA,5.3,4.7,0.4,0.3,0.7,0.568,0.25,0.557,4,0,0.1,2.3,4,0.573,0.57,0.7,1.2,1.8,2.9,0.4,1.9,71,14.5,-2.42,1.25,-1.17,1.28,10.8,98.26,39
298,316,Omri Casspi,SF,NO/MIN/SAC,5.2,3.1,1,0.6,0.1,0.47,0.349,0.586,4.6,0.4,1.2,1.7,3.4,0.512,0.515,0.5,0.8,0.8,2.4,0.8,1.4,36,17.9,-2.35,0.05,-2.3,0.22,6.9,98.23,12
299,317,Mike Dunleavy,SF,ATL/CLE,5.2,2.2,0.9,0.3,0.1,0.423,0.396,0.8,4.2,1,2.5,0.8,1.6,0.465,0.543,0.7,0.8,0.3,1.8,0.5,1.3,53,15.9,-2.26,0.05,-2.21,0.49,7.7,98.53,34
300,318,Randy Foye,SG,BKN,5.2,2.2,2,0.5,0.1,0.363,0.33,0.857,4.7,1,2.9,0.7,1.8,0.418,0.466,0.8,0.9,0.1,2.1,1.2,1.4,69,18.6,-2.7,-1.42,-4.12,-0.85,5.7,103.71,17
301,319,Cameron Payne,PG,CHI/OKC,5.2,1.5,1.8,0.5,0.1,0.332,0.314,0.625,6.2,0.9,2.8,1.2,3.5,0.346,0.402,0.2,0.3,0.1,1.5,0.9,1.7,31,14.9,-4.14,-0.31,-4.45,-0.39,4.1,98.86,16
302,320,Dewayne Dedmon,C,SA,5.1,6.5,0.6,0.5,0.8,0.622,,0.699,3.4,0,0,2.1,3.4,0.622,0.622,0.9,1.2,1.7,4.8,0.8,2.4,76,17.5,-1.63,3.94,2.31,4.49,12.4,95.97,55
303,321,Cheick Diallo,PF,NO,5.1,4.3,0.2,0.2,0.4,0.474,,0.714,4.5,0,0,2.1,4.5,0.474,0.474,0.9,1.2,1.4,2.9,0.4,1,17,11.7,-2.54,-0.85,-3.39,-0.03,11.3,101.07,9
304,322,Shaun Livingston,PG,GS,5.1,2,1.8,0.5,0.3,0.547,0.333,0.7,4.2,0,0,2.3,4.1,0.55,0.549,0.6,0.8,0.4,1.6,0.8,1.6,76,17.7,-2.55,-0.19,-2.74,0.33,7.3,98.4,63
305,323,Luis Scola,PF,BKN,5.1,3.9,1,0.4,0.1,0.47,0.34,0.676,4.2,0.5,1.4,1.5,2.8,0.535,0.526,0.7,1,1.4,2.4,0.9,1.8,36,12.8,-0.8,-0.29,-1.09,0.62,8.9,102.58,7
306,324,Wayne Selden,SG,NO/MEM,5.1,1.1,0.9,0.4,0.1,0.431,0.25,0.636,4.1,0.5,2,1.3,2.1,0.6,0.491,1,1.6,0.1,1.1,0.9,1.3,14,16.9,-2.44,-0.28,-2.72,0.06,4.4,94.78,6
